"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","firstcharacter","chapterbody 51","chapterbody 52","chapterbody 53","chapterbody 54"
"目录","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c999","序 释迦牟尼佛早就给我授记(序)","001 大洪水来了","002 串珠般的“星光身”","003 化身为白发老翁","004 这是怎么回事？","005 龙袍救人出地狱","006 大神也皈依卢师尊","007 宗喀巴大师的现身","008 大预言","009 我化身为跨海大桥","010 六千万吨的雨水","011 断人生？断人死？","012 我发愿：绝不告人","013 给与梦示","014 空中出现“六足”印","015 突然闪过的一念","016 佛语无虚言","017 在卢胜彦的头上小便","018 被烫死的小孩","019 法王的旧内衣","020 要如何修心？","021 山顶上的老法师","022 杨移圳医师如是说","023 今日心情好否？","024 禅定的游戏？","025 熊处长如此说","026 从十一楼跌到地面","027 到“香华雷藏寺”开光","028 明天会醒过来","029 乌鸦同时大叫","030 ОО一号的建筑执照","031 李幸枝的小故事","032 现在的“南山雅舍”","033 避开杀人犯","034 我签了“不气切、不插管”","035 癌细胞的不见","036 化身为救火员","037 宗教如何融合？","038 史蒂芬‧辛格","039 三座金桥","040 一个老头与一个小孩","041 一个神奇的梦境","042 魏青萍夫人","043 长寿的莲花益明法师","044 李翱究竟有无悟道？","045 同学会的奇事（之一）","046 同学会的奇事（之二）","047 王蓝生的问疑","048 四如意足","049 后记感言","","","","",""
"序 释迦牟尼佛早就给我授记(序)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c000","很久很久以前的那一年。","我从美国西雅图回到台湾台中，住进台中公园旁的“敬华大饭店”。","有一天晚上，我“星光身”出神。","我见到了“释迦牟尼佛”。","佛陀说：“你知道我是释迦牟尼佛吗？”","我说：“我当然知道，就算变了装、化了灰，佛与佛，彼此都知道的。”","佛陀拿起笔，给我授记，写上了：“大光自在佛”。","我说：“大字不好，人家会以为我自大自傲。”","于是，佛陀将“大”字改成“华”字。","我与释迦牟尼佛，相视而笑，哈哈哈，大笑三声，彼此之间谈了很多昔日在人间的往事，相见非常的欢喜。","","●","","又经过一段时间之后，我终于开悟明心了，在开悟明心之后，大开佛慧，拥有了如来的智慧。于是我明白了：原来如此、原来如此、原来如此、原来如此、原来如此、原来如此、原来如此、原来如此、原来如此。","写了九个原来如此是：","一悟永悟。","唯一无二。","绝对绝对。","无上无上。","我所明白的开悟，等同释迦牟尼佛在菩提树下的开悟，是一样的。我明白这种开悟，世间上的人，是没有办法去想像的，很堪难的。","明白，为何佛陀只“拈花”。","打地和尚只“打地”。","我（卢师尊）只有“金鸡独立”。","因为：“不可说！”","如果说了，未达如此“无上殊胜”者，必然会有大毁谤之故。","会不信之故。","会嘲笑之故。","会大怖畏之故。","然而，你只要开悟了，你参禅宗公案，绝对没有看不懂的。","你阅读大藏经，没有看不懂的。","千经万典，一而贯之。","哈哈哈！苍天！苍天！","如同“一口饮尽千江水，一眼看遍万重山”，我这位“了义”者，从此明了什么是“不了义”，什么是“了义”。","","●","","二Ｏ一一年五月一日晚上，有人持西藏的一本经典，中文名“圣大解脱经”，又名“大方广忏悔解脱成佛经”，经文明白示出。","未来三千成佛者。","第一千佛，以“华光佛”为上首。","第二千佛，以楼至佛为上首。","第三千佛，以弥勒佛为上首。","善哉！","太感应了！","","莲生活佛卢胜彦联络处","Sheng-yen Lu","17102 NE 40th Ct.,","Redmond, WA 98052","U. S. A.","","在","编者注：本有声书系由莲竫法师录制","","",""
"001 大洪水来了","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c001","一年，某国干旱缺水，各地方的水库，水位已下探最低点。原来“湖水泛舟”的小舟，搁在龟裂的湖底。全国缺水严重，已全面限水了。","老百姓叫苦连天。","连餐馆的饮用水，都是限量供应的。","河流干了！","湖已见底！","井水也打不到水！","情况确实非常严重，政府派出消防车，挨家挨户的给一点点水。","真佛宗的弟子，连署写了一封求救信给我，他们的祈求如下：","有一台风逼近。","祈愿台风进入该国。","因为唯有“台风环流”的水气，能够令全国的旱象解除。","以解缺水之苦。","","●","","于是，我在美国西雅图。","在自家后院，设立香案。","立下八大龙王之位：","难陀龙王、跋难陀龙王、娑伽罗龙王、和修吉龙王、德叉迦龙王、阿那婆达多龙王、摩那斯龙王、优钵罗龙王。","立下『风天』（）。","置“甘露法雨”幡，及甘露瓶。","作法时：","将风天引入某国。（以指示印）","再将甘露撒点水，撒在该国的大地上。","持密教真言：","“嗡。缚日罗。儞罗。梭哈。”（风天）","持密教真言：“南无。三曼多。勃陀喃。米伽。设宁玉。梭哈。”（龙）","结八大龙印。","大拇指相交。","伸其他四指，如展翅，手心向外。","然而，我发觉到：","也不知怎么一回事，甘露瓶竟然倒了，流出的水，湿透了该国的某一部分。","我见状，大骇。","惨了！这已注定了该国有大难临头，我有一种不祥的感应。这感应非常真实，决定不假。","我本是救旱灾的。","但在作法的过程中，甘露水倾倒，湿透一大块地图，岂非天灾吗？岂非浩劫吗？","","●","","那一年。","台风果然进入该国。","倾盆大雨而下，据气象台报告，下一天一夜的雨量，等于是全年的雨量。","天啊！","大洪水来了！","大土石流来了！","大山崩了！","大河流改道了！","大桥毁了！","大洪水如同水淹“金山寺”一般，原来是旱灾，竟然成了人间浩劫的大水灾。","我无语问苍天。怎么办？","那","有时候，什么都不做，又觉得于心不忍，菩提心在哪里？","有时候，我做了，想把世界的灾难抚平，给与幸福美满。但，偏偏的灾劫难逃，去了一难，又来另一难啊！","",""
"002 串珠般的“星光身”","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c002","Ｏ一一年，五月一日，我在下午二时，将前往香港博览会的会馆，主持“孔雀明王水供法”的大法会。","在这次大法会中，将赐授：","“孔雀明王星光身法”。（灌顶）","“孔雀明王祈雨法”。（灌顶）","“孔雀明王甘露水法。”（灌顶）","我从“W” HOTEL，出发。出发前，我向孔雀明王祈祷：","“您会给我吉祥的感应吗？”","孔雀明王答：","“会。”","我问：","“是怎样的感应呢？”","孔雀明王答：","“珠串般的。”","我问：","“什么是珠串般的？”我莫名其妙。","孔雀明王答：","“时至即知！”","当我上了游览车，大家坐定，车到饭店前的十字路口，众人大叫：","“珠串般的法拉利跑车，车阵。”","众人看窗口。看呆了。","车窗外，约百辆的“法拉利”车，列队通过十字路口，“法拉利”跑车，是最昂贵的。我大骇，这就是感应到了。","“法拉利”的珠串车阵。","尊贵的大法。","竟然这也是大感应。","（该次大法会，吉祥圆满，共有三万的同门，参与是次的法会，三个大场地，满！满！满！）","","●","","我觉得，“孔雀明王星光身法”，我所说的，虽然是精华，但，略法中，仍然需要有些补述，免得同门虽知此法，而无下手处。","我补述如下：","一、以梵字“玉”，变化孔雀。","以梵字“班”，变化莲花。","以梵字“摩”，变化明王。","二、孔雀明王住行者对面虚空，仍然以“”字光，融入行者额头。以“”字光，融入行者喉际。以“”字光，融入行者心际。","行者身、口、意清净。","三、孔雀明王化为“”字光点，进入行者的中脉，在中脉中，成为“”的珠串。","四、由“”字转化成孔雀明王珠串。","五、行者以“宝瓶气”运气，将孔雀明王送至黑暗星空。","六、每颗星星的光与孔雀明王合一，也即是一颗星就是乙尊孔雀明王。","七、再将星光融合的孔雀明王收摄于中脉。","八、中脉中充满珠串的孔雀明王。","九、如此吐纳往返修练，直至千百亿化身的孔雀明王“星光身”。","这也是“身外化身”之法。","此法须相应孔雀明王后，才起修的。相应后就容易了。","","●","","密教的修行，有广、中、略三种。","“广”是总说。","“中”是实修法。","二","“略”是简法精华。","在此次法会中，我所述说的“星光身法”、“祈雨法”、“甘露水”法，全是“略法”。","圣弟子要谨记，凡一切法，须由行者心领神会，一一变化，实修久久，自有相应之时。",""
"003 化身为白发老翁","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c003","一年，某国大地震，屋宇全倒或半倒，有很多人埋身在土砾之下，哀哀待救。","世界各国的救难队，纷纷飞至该国救难，用仪器及救难犬，去发现地下有无活人。","救难活人，不能用大型机械，恐伤身命。","但用手及工具，又恐救援不及。","黄金八小时。","黄金二十四小时。","黄金三天。","黄金一星期。","被活埋的人，时间愈长，存活率愈是小了。","正当过了廿六天之后，有一位小朋友被救了出来，这是非常奇迹的。","人们都不相信。","二十六天，没有水，没有食物，怎么活？","小朋友说：","“渴了，饮雨水滴入夹缝的小水滴。饿了，快晕了，眼前现光，一位白发长须的老翁，给我食物吃，所以能活下来。”","记者睁大眼睛：","“你饿晕了，出现幻觉。”","小朋友说：","“真的。”","记者说：","“难以置信。”","这件事被报导出来了，有的人，啧啧称奇，有的人根本不信。","这种事，学科学的，学医学的，站在他们的角度，是毫无根据的。","我看了报导，哈哈哈，大笑。","","●","","有一天，观世音菩萨来看我。","菩萨说：","“卢师尊，是你做的。”","我答：","“我在这国，他在那国，太远了。”","菩萨说：","“道岂有太远之说吗？”","我无语。","菩萨说：","“为什么不显化你的本尊，而变化成白发老翁？”","我答：","“若太显化，便教我无喘息之地，我岂有安身立命之处？”","“显化白发老翁？”","“图个天下太平。”","菩萨说：","“有教派要抚养这位孤儿一生，也有他教派要认养他这个孩子，你为何不认？”","我答：","“他们是耳畔打钟声，而我是只具一只眼。”","观世音菩萨笑嘻嘻走了。","","●","","我当然有菩提心！","众生于我有恩，我悲悯所有的众生，有缘的众生要度化，无缘的众生，同体大悲啊！人生太苦了，怎能不感同身受呢！救度众生是不分彼此的，若有分别，如何是平等智？","那","只要遇上了，你就是我要救度的人。","只要发现了，我就化身救人。","只要我能够，我一定是菩萨。","只要你需要，我就给与。"
"004 这是怎么回事？","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c004","美国，要建立一座寺庙，并非很容易的事，这是众所周知的。","首先，要“公听会”，需要周遭的邻居，方圆几百户的邻居点头同意。","寺庙的土地是“宗教用地”，须由当地政府的规划成“宗教用途”。","所以，西雅图雷藏寺，是千辛万苦始出来，“公听会”有十一次之多，其中的困难，说了起来，可以写成一本书那么的多。","然而：","“彩虹山庄”是我个人花钱所设立，建立的地点是在西雅图的东方，约四十分钟车程的“诺斯面”市，属于郡政府的辖区。","“彩虹山庄”的地，是“住宅用地”及附近有“轻工业区”用地。","我当初建立“彩虹山庄”是为了“度假”、“休闲”、“闭关”而设立的。","“彩虹山庄”有四十亩，周遭有“纱帽山”、“屏风山”、“天马山”、“贵人峰”、“印山”、“鼓山”、“旗山”，所以是“七星落地”的大地理。","“彩虹山庄”是我的家。","“彩虹山庄”有我祖先的灵场。","“彩虹山庄”有坛城、护法殿。","“彩虹山庄”是供奉“水子灵”的地方。","“彩虹山庄”有护摩宝殿。","“彩虹山庄”是同门闭关的宝地。","“彩虹山庄”山顶有健行道及健身设施。","但，“彩虹山庄”是“住宅用地”，并非“宗教用地”，这是绝对的。","","●","","那一年的有一天。","有一位王姓的同门，无意中在电脑上看到了“彩虹山庄”的地目，吓了他一大跳，因为地目显现出“彩虹山庄”是“宗教用地”。","这位同门是建筑工程师，知道美国的土地规划法规，不可能由“住宅用地”突然自动变化成“宗教用地”。","王同门将消息告诉我们，告诉大家，我们大家都吓了一大跳：","这是怎么一回事？","瑶池金母去申请的？","公听会呢？","“地目”如何会自动变更？","我们根本没有申请？","佛菩萨去申请的？","搞什么东东？","然而，“彩虹山庄”自动变成“彩虹雷藏寺”，神不知也鬼不觉。","","●","","天啊！这是哪门子的神通演化？","有一天晚上。","我的头顶“百会穴”，爬出一尊光灿灿的佛，佛飞到“郡政府”负责“地目”的官员家。","官员在睡梦中，佛进入官员的脑袋里。","第二天，官员上班。","官员在自己管理的地目上，把“彩虹山庄”的“住宅用地”，主动的打入“宗教用地”。","一切迷迷糊糊的。","于是，“住宅用地”就变成了“宗教用地”。","我说：","人助天助。","心想事成。","有时候，什么都不做，一切自然成。","没有“公听会”，没有申请变更“地目”，而“彩虹雷藏寺”自然的屹立。","","","在","","","",""
"005 龙袍救人出地狱","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c005","人出车祸，送至医院急救，呈昏迷状态，躺在医院加护病房等死。","我赶至，脱下身穿的龙袍，盖在病人的身上。","约过了六小时。","车祸病人醒了过来，他述说，他去过地狱的经历，闻者皆大叹不可思议。","他说：","他自觉已经死了，独自一人走过一条黑暗的甬道，也可说黑暗的幽谷。","来到一座大厅，已经有很多人列队，排了很多排在那里，就像等候点名一般。","众人集合之上，坐了三名官吏模样的人，一一阅名，一一点名，就像分配“牢狱”一般，非常的庄严及肃穆，一点声息都没有。","亡灵列队而行，突然叫到车祸病人的名字，他喊了一声：“有！”","官吏看一看他，很诧异的问：","“你身上是什么衣服？”","车祸病人答：","“我也不知，不知谁给我披上。”","","正在此时：","龙袍大放异彩，金光闪闪，瑞气千条，整座幽灵大厅一时光明万千。","官吏大骇。","幽灵惊叫。","“这件衣服是怎么回事？”","冥吏回答：","“这是件龙袍，是卢师尊的龙袍，有法力的龙袍，能护守生人。”","官吏察看车祸病人的来历说：","“此人一生，善恶业相等，但尚有一段修行因缘，就让他还阳去吧！”","冥吏带着他，走到一个悬崖旁，悬崖下，烟雾弥漫，冥吏推他下去。","他大叫一声，便醒了过来！","于是，他告诉我们这段经历。","信者动容。","不信者，认为是幻觉。","他本人深信不疑，因为一切经历，历历在目，连细节都很清楚。","有一天，他来找我，他说：","“官吏说，尚有一段修行因缘，不知如何做？我从未修行，不知如何开始？”","","我告诉他：","你是因有了死亡经历，才知修的。你当坚固你的道心，常常思念：","死无法避免。","寿命有减无增。","寿命不定。","死缘非常的多。","死时一点也带不去。","死时孤独无伴。","他听了，悚然！","我说：","活着时，人们虽然无暇修行，但仍然非修行不可。","他点点头。","我说：","死亡时，唯有修行佛法外，才可救度，其余多无益处。所以你只有先皈依三宝，学习正法修行，才可以解救你的死亡，不下三涂。","他说：","“是的，是的。”","于是，我先给他“皈依”，教他“持戒”，最后教他修“上师相应法”及“本尊法”。","","有","","","",""
"006 大神也皈依卢师尊","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c006","一位老妈妈，她得了一种病，遍寻名医诊治，均无法痊愈，有医生看到没有医生。","不得已了，人家请她去问大神。","大神降临，“嘶！嘶！”的叫。全身抖颤。","老妈妈问：","“我的病请大神法力治疗。”","大神说：","“你要去雷藏寺找卢师尊加持。”","“为什么？”老妈妈相当讶异。","大神说：","“卢师尊是当今的佛，最有法力的，你不找他加持，如何能痊愈？”","老妈妈说：","“我找大神就好。”","大神说：","“我也皈依了卢师尊，当代的佛，当代的法王，我大神也是卢师尊的弟子。”","老妈妈问：","“他真的有法力吗？是真的佛吗？”","大神答：","“我教你念他的心咒，『嗡。咕噜。莲生悉地。吽。』念愈多愈好，卢师尊会现身加持你！”","“系真Ａ？”","“真Ａ。”","","●","","老妈妈深信大神的话，真的念“嗡。咕噜。莲生悉地。吽。”老妈妈早也念，晚也念，连睡觉前也念。念个没完没了。","有一天。","她在庭院乘凉，坐在凉椅上，闭着眼念上师心咒。","突然，四周全在念：","嗡。咕噜、莲生悉地。吽。","很大声。还夹有鼓声、钟声、法器声，仿佛是千万人齐念：","嗡。咕噜。莲生悉地。吽。","她老妈妈张开眼，吓了一大跳。","因为眼前，是一位戴五佛冠，穿白衣，坐在莲花座上的莲花童子，全身放光，这莲花童子卢师尊还伸手加持老妈妈。","如此过了约三分钟。","老妈妈愣了三分钟。猛然跳起大叫特叫她的儿子、孙子、媳妇......。","一边叫，一边说：","“系真Ａ、系真Ａ、系真Ａ......。”","“真Ａ啥米？”","“真Ａ卢师尊来加持我。”","","●","","老妈妈及一家人全到雷藏寺来皈依我。","我告诉他们：","皈依实有“一般皈依”及“特殊皈依”。","一般皈依是从现在起至临命终时，便结束了。","特殊皈依是从现在起至证菩提果成佛究竟才终止。","老妈妈一家人，全受“特殊皈依”。","我说：","恶趣痛苦烈火怖畏中，诚心实意皈依三宝尊。","诸恶断除众善资粮修，能作虔诚精进求加持。","有","世间人：","颤抖眼大睁，四方寻救护。","见四方无依，心中极懊丧。","彼处无所依，彼时己何从。"
"007 宗喀巴大师的现身","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c007","“宗喀巴大师”圆寂之后（一四一九），据我所知，宗大师曾经多次的现身。","其一，克主杰因为众生迷恋于“自赞毁他”、“虚妄”、“绮丽”、“邪命”，心生悲悯之时，至心哀祷。","宗喀巴大师现身，骑白象，威光赫赫，对克主杰说：“儿啊！勿忧，如果有人，时时忆念我，我必现身，能净治往昔所造之恶罪障，这是极为难得的。”","其二，克主杰在显密二教甚深扼要之处，不能决疑，因而生出悲切的心。","刹那间，宗喀巴大师突现金身，坐在无量摩尼真珠的纯金宝座之上。","由许多天子，擎持而至。","宗大师对克主杰说：","“儿啊！般若法门与密教法门二者互通互辅，要有般若上的见地，以密教之修法，而修证之。此乃教法及证法，二者不可偏废。”","其三，克主杰读宗大师的著作，觉得其中，阶梯分明，无欠无余，前后兼顾，次第宛然，深觉师父的伟大。","又想到众生的无知，五浊恶世之中，他们很少精研宗大师的甚深法义，因此有了无限的哀思......。","","此时。","宗喀巴大师又现身了，大师全身金黄色，现文殊师利相，骑狮子，对克主杰说：","“儿啊！如果有人阅读我的著述，且能深具信心，专心修持甚深法义，其得佛位，如在掌握。你当宣扬我法，去饶益众生，众生之中，仍有少数法器在的。”","其四，克主杰时时忆念宗大师，有一回，涕泣伤感之后，至诚祈祷：","“具足三恩无与伦比之上师啊！我何时能再逢上师，到上师的足前？”","于是，宗喀巴大师骑着猛虎，瞬间出现于对面的虚空之中，现金刚瑜伽之相。宗喀巴大师对克主杰说：","“我永远在你身旁，你我不分彼此，我并没有远离他去。你若念我，可阅著作，这些著作里，均有我的存在。你可发愿，到空行的世界来。”","其五，克主杰不知宗喀巴大师究竟在什么处，于是陈设上妙供品，至诚祈祷：","敬礼父师三世佛，众生唯一皈依处，","结尊文殊无能胜，祈请慈悲降临此。","于是。","宗喀巴大师坐金刚座现身，双手转法轮印。","宗大师说：","“我的化身遍一切处，有的在空行世界，有的在覩史陀天（兜率天），有的在南赡部洲，有的在五台山，在任何一处。”","","●","","宗喀巴大师的最主要的弟子有：","贾曹杰、克主杰、扎巴坚参、绛阳却结、绛钦却结、罗追僧格、根敦主巴等。","我在本文中，提到“克主杰”多次看见圆寂后的“宗喀巴大师”。","我也告诉大家：","我在讲述《密宗道次第广论》之中，第一次开讲就亲见宗喀巴大师，出现在我正前的上方。化身非常庄严，现文殊相，四周放光如网，细细绵绵，光芒罩住我身。我得到宗喀巴大师的现身加持，这种亲身的体验绝非虚言。","我卢师尊也如此说：","“将来我圆寂化去，我的化身遍一切处，随处祈求随处现，圣弟子若忆念我，我必然现身在他眼前。”","","","","","","","","","","","","","","","","在","","","",""
"008 大预言","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=423&chapter_id=c008","住台湾的时候，那是二Ｏ一一年。","有一位王老师预言，二Ｏ一一年五月十一日十时，台湾会出现十四级的大地震。","台湾会断裂成两半。","有超级大海啸。","会死亡数百万人。","这位王老师的预言造成了大轰动，媒体争相报导。王老师也不含糊，在埔里建了很多货柜屋，囤积米粮可以吃一年。","王老师的预言，据说根据“金线之路”的易经八卦推演出来的。","十四级大地震。","大海啸。","台湾裂两半，死数百万人。","这算是大预言了。","我为了此事，请示了“瑶池金母大天尊”。","我问：","“五一一末日说，是真的吗？”","金母答：","“没有这回事。”（安啦）","我问：","“大地震十四级，有无可能？”","金母答：","“有你在台湾，怎有可能。”","我问：","“我岂有那么大的能力，能镇住灾劫？”","金母答：","“你是佛。”","","●","","我很冷静的想了“大预言”。事实上在从前有位“陈恒明”的“飞碟会”，也曾预言“末日说”，上帝会派“飞碟”来接走他们。","结果是，不了了之。","今天的二Ｏ一一，五月十一日，末日说，也一样会不了了之的。","我有一个感叹：","“人恐惧末日，但，却不知修行，可算是大悲哀了！”","我问：","“我能够做大预言吗？”","金母答：","“你能。卢师尊无所不知，神通法力无边，一言中的。”","我问：","“预言什么？”","金母说：","“大地震、大洪水、大火山爆发、大台风。这些都不大。”","我问：","“什么才算大预言？”","金母答：","“太阳自动爆裂，地球冰解，这是大预言。九大行星脱轨，星球互相追撞，这是大预言。地球磁场消失，一切有情众生，被太空吞噬，这是大预言。地球裂成多瓣，人类生物全毁，这是大预言......。”","我问：","“有什么再更大的预言？”","金母答：","“人间根本没有存在过，这是最大的预言了。”","我说：","“这不可能，确实有人间啊！”","我","金母答：","“如梦幻泡影，如露亦如电，无我、无人、无众生、无寿者，这是什么？”","我说：","“这才是大预言啊！”（法尔本然）"
