"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","firstcharacter","chapterbody 51","chapterbody 52","chapterbody 53","chapterbody 54","chapterbody 55"
"目录","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=438&chapter_id=c999","序 对着月亮说话(序)","001 我这一生没有照相机","002 月亮没有法座","003 品尝云之美","004 月河的流水","005 小草最坚强","006 超美的柔软","007 燃烧的野火","008 月蚀的时分","009 躲在风雨之后","010 小小世界都美好","011 蕴藏了复杂的滋味","012 七彩的湖","013 有雾的早晨是晴天","014 树与藤","015 玻璃心与钻石心","016 禅定是坐忘","017 远古的万万年","018 我们都会老","019 月轮的观想","020 或许我是个傻子","021 生命的期待","022 回到自己的“故乡”？","023 梦梦梦梦梦","024 永远不会死去的","025 在风雨飘摇之中","026 我们不要失眠","027 鲑鱼的回航","028 回到鄕下去种田","029 欢愉的日子","030 将“快乐”供养","031 坐在法王的宝座上","032 不会有结局","033 我修“无漏法”","034 听着雨声入梦鄕","035 我眞正的工作是写作","036 你是我的？","037 床上的日出","038 你的少少挂碍","039 让我全身燃烧的火","040 你我共同的观念","041 旅行中的感触","042 创造一些新作品","043 带一点与众不同","044 一无隐藏的人","045 香与华","046 大圆满法的重要灌顶","047 “四喜”密教修持精要","048 一颗天真的心","049 呷呷给我的灵感","","","","","",""
"序 对着月亮说话(序)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=438&chapter_id=c000","说卢师尊对着月亮说话是吗？","对！","那你是疯子是不是？","是！","怪不得很多人都说，卢师尊疯了！","我说：","这世界上有很多人，都对着月亮说话啊！","谁？","我举几个小例子：","子淳的诗：","水最为清月最圆；月光涵水水涵天。","混融不落威音世，到此如何语正偏？","17102 NE 40th CT","我说：","子淳的诗，提到“威音世”，即“威音王佛”。佛对着月亮，如何说正的？还是偏的？","慧永的诗：","髙山飞瀑布，野寺少燃灯。","坐对玲珑月，不时心似冰。","我说：","慧永的诗，心中有月，月就是清凉的冰，这冰是对月亮说话。","正觉的诗：","木落空山霜，夜楼时一撞。","随风度林岭，唤月到萝窗。","响应虚传谷，声飞不碍江。","梦回天意晓，蝴蝶失双双。","REDMOND WA 98052","我说：","正觉的诗，是撞钟的一颂，把月亮叫到窗户内，正是对月说话。","慈云的诗：","笛声吹动钱塘月，遶岸秋芦风郁勃。","小寺孤灯炯炯明，道心梦悟趋清越。","我说：","这人更妙，对着月亮吹笛声。","实行的诗：","凉风吹白发，诗句转清越。","犹谓寄情深，禅心向明月。","U. S. A.","我说：","实行的诗，何不说，谈“心”向明月？","贯休的诗：","今人看此月，古人看此月。","如何古人心，难向今人说。","我说：","就对着月亮说！何必对人说！","李白的诗：","床前明月光，疑是地上霜。","举头望明月，低头思故乡。","编者注：本有声书系由莲竩法师录制","我说：","李白是夜夜对月亮说话的诗人！","听","我早就知道了，从古至今，很多很多对着月亮说话的人。","我这位小人物，也对着月亮说话，我终于知道:","“我不是主角，我只是配角。我只是一个过路客啊！”","大家都是疯子！","我是小疯子！"
"001 我这一生没有照相机","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=438&chapter_id=c001","呷！","我是一个不懂电脑的人，我也没有现代人，人人一手的手机，还有一点値得注意的：","“照相机”。","很多人用照相机拍我，用手机拍我，我的照片非常多，而且无尽无量…。","但，我没有“照相机”。","我的照相机就是我的“心”，是我的心，把你的心情、背影、俏相、微笑、神韵……，全部印在我的心中，而且满满的。","","月亮中有你的倩影。","月亮中有你的巧笑。","月亮中有你的眉、眼、鼻、唇。","月亮中有你的苗条。","我说：","“月亮中有你！”","你说：","“我怎么没看见？”","我说：","“哈！那是我心中的明月！”","很多人的照相机都是对外的，照的都是表面，就算是自拍，也是照外表，照表面。只有我卢胜彦与你，拍的是“谈心”。","","我说：","“有些时候吧！一个人只为了一个人，永恒的相聚。”","这种事－－","只能对着月亮谈话了，因为那是秘密，当然我的谈话是最忠实的，那是我心中的话，心中的话，不能让第三者知道。","呷呷！","在我的回向之中，只有我与你了，我是孜孜的一片心，虽然佛陀的教法是：","“无我念！”","无我念，我做到了。但，我的心中是“有你念”，哈哈，你那美妙的声音，就化为天乐，在虚空中，回荡过来，回荡过去。","我就送一首诗给你：","智慧如来大，","恩情父母深；","若问我心底，","吾对你更眞。","能够和你相逢，是値得庆幸的，那是一段最美好的时光啊！因为我不必安排，也不用巧思，不造作，不用特别的彩排，一切就是如此的自然，自然而然的顺理成章。","偶而也有“爱别离苦”。","但，我知道你在遥远的地方，我知道你在那儿，我渴望你回来，你渴望我回来，彼此的心声，都是“渴望”！","","我写一首现代诗给你：","有时候喜欢天晴","因为那晚的月亮更分明","你的映","我的影","","脸儿盈盈","让我无眠","分不清是月是你","说如此牵情","","","","","呷","","","","",""
"002 月亮没有法座","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=438&chapter_id=c002","呷！","我们常说：","“如来就是，无所从来，亦无所去，故名如来。”","我由“如来”想到月亮。","月亮从哪里来？","月亮从哪里去？","什么时候它开始悬在空际？什么时候它消失于空际？","我们看见月亮升起，看见月亮降下，但我们知道“月落不离天”。","由此，我印证：","“月亮没有法座！”","","僧璨有一首诗：","丘壑容高卧，","烟霞久作邻；","禅扉睽祸福，","呵护自由人。","","月亮就是“自由人”了。","看月亮，是非常的简单，只要是晚上，一抬头就看见了。","我看月亮，就等于看你。","在这美妙的时刻，一切烦恼及纠葛就完全的不见了。","只要看月亮，心思就飞到里面去了，去看月宫宝殿，去看嫦娥，去看吴刚，去看月兔，随着，就身心全放下。","这刹那的一刻－－","天是天。","云是云。","月是月。","天，我们知道是空虚的！","云，我们知道瞬息万变的！","月，我们知道是流浪的！","哇！好美哦！","","月亮没有法座，不固定的。呷呷！我知道你是自由人，你是流浪的。","其实我总是有一点小小的私念，把你留在我的身边。","我是男主角。","你是女主角。","但，有时候，把眼光放大，看看宇宙、星辰、大地、山海，这么大的远景，这样的壮观，我如何能够把你留住。","其实你也是没有法座的，你一直感觉到没有家，就算有家也拴不住你。","因为我只要把眼睛闭上，你就一溜烟似的，走进我的心底深处。","","那一刻最美！","那一刻最宁静！","那一刻甜甜的！","","写一首诗，送给你：","没有人能够把你留下","你说你为我活","这又是什么话","","让我们来划一画","月亮最雅","呷","也永远的在天涯","没有固定的法座","我不用娶你也不用嫁","",""
"003 品尝云之美","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=438&chapter_id=c003","呷！","当我们看“月华”的时候，我们同时也看到“云”。","月亮在云的后面。","月亮在云的中间。","月亮在云的边缘。","月亮在云的并列。","看云也是很好的一种享受，云有多色，白的、黑的、橙的、红的、灰的……。","云的形状完全是不固定的，千奇百怪，有的像龙，有的像凤，有的像手掌，有的像脚印……在一刹那又一刹那中变幻。","它有时候会变化出你的脸，看见你的脸，就会想起眉、眼、鼻、唇……。","","我记得一首诗，好像是这样的：","一朝鹏举，万里鸾翔。","纵任挥洒，游行天王。","车车返邑，衣锦还乡。","鸟残以羽，兰折由芳。","","你知道吗？我把这首诗，原本不是写“云”的，我却把它，当成云想。","又：","智威的诗：","余本性虚无，缘妄生人我。","如何息妄情，还归空中空。","这就是“云”了！","","又：","虚无是实体，人我何所存。","妄情无须息，即登般若船。","这就是“禅”了！","同样的一种千古想念：","你从哪里来？","你要到哪里去？","你在人间做什么？","还有：","“你遇到我，我遇到你，为的是什么？”","有一首“偶然”的歌，歌词是：","我是天空的一片云，偶然，与你相逢……。","天啊！","从此之后－－","你是我的唯一！","你是我的全部！","我们不是孤独的云，你身中有我，我身中有你，缠绵成一片，纠缠成一片。","","呷呷！","我一生追求自由自在，追求无障无碍，追求清净平等，追求本觉智慧光明。","我盼望着，盼望着－－","“爱”、“纯”、“柔”、“亮”。","写一首诗送给你：","在清秋","放一轮明月","月旁有云四处流","","呷","有一种心情无法收","苒苒之中不眠不休","何事心里留","","像一叶小舟"
"004 月河的流水","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=438&chapter_id=c004","呷！","我读过“寒山子”的诗集，其中有二首：","一、吾心似秋月，碧潭清皎洁。","无物堪比伦，教我如何说？","","又：","二、碧濶泉水清，寒山月华白。","默知神自明，观空境逾寂。","","由寒山子的诗中，我们可以看出寒山子是喜欢月亮的。他常用月亮来表征。","这两首诗，比喻“心如秋月”、比喻“月华雪白”，都象征了寒山子的心。","学佛的人都知道：","寒山子是文殊化身。","拾得子是普贤化身。","这个因由是“闾丘胤宦丹丘”，遇天台山的“丰干”禅师。胤问：“天台山可有贤师？”","丰干答：","“天台山有寒山文殊、拾得普贤，在国清寺。”","胤到官三日，亲往国清寺，见到寒山子、拾得子，便大礼拜。","二人大笑：","“丰干太饶舌了，阿弥陀佛不识，礼我二人做什么？”","","我读了二首诗，及其典故。我想起了我们的“月河”，那是我们多世以前相聚的“月河”。","月河光明无尽。","月河天乐悠扬。","月河清净法身。","月河流水甘露。","我们食甘露。","我们穿天衣。","我们住宫殿。","我们行嬉戏。","","呷呷！","我们化尽了色身被污染的四大(地、水、火、风)，我们的家在“天河胜景处”。","其实，人间是纷乱纠缠的，是迷悟的大海，是污染的黑云。","我们在“澈却”的观修中，是要断除四大的种种污染。","当四大由粗变微，由微变化，于本净中，解脱得成就。","我们在“脱噶”观修中，由光的聚集，光明化尽肉身，得“虹光身”。成就大迁转，证得无上正等正觉的佛果。","","你是我的道伴。我要告诉你这些。","我们要回到原来的刹土去，天河胜景处，是我们的故乡。","","写一首诗送给你：","我们不能在娑婆世间逍遥","人间游戏","如许的无聊","","我们要望向地标","不能闲过清宵","我愿与你","业障消","呷","四大均清净融化","让拙火燃烧","","",""
"005 小草最坚强","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=438&chapter_id=c005","呷！","我赏月时，偶而会站在庭院的草皮上，西雅图的夜色是有寒气的，寒气会穿过我的喇嘛裙，直接的吻着我的双腿。","那时，地上的小草已有了露水了，当我踩过，露水也会沾上脚板。","有人说：","“不要踩草！”","我问：","“为什么？”","他答：","“小草因你踩它，它会死！”","我说：","“它不会死，小草最坚强，它是枯了，但，又会变绿，绿又枯，枯又绿，小草令我吃惊，很快的，它又是油绿一片。”","我欣赏小草，只因花会枯萎，树会被砍，只有小草，永恒的存在。","","良价的诗：","可笑奇，可笑奇，无情说法不思议。","若将耳闻声不现，眼处闻声方得知。","","我说：","“小草是无情说法，它说，我与你的爱，永远不死，不可思议！”","我们这一生，当然有很多挫折无数，来自于社会的，来自于家庭的，来自于人际的，来自于你的朋友的，来自于我的弟子的。","他们像黑云，层层的盖住了月亮。","但，我明白，月亮还在。","终有一天，撕开了那层黑幕。","月亮从未离开。","","惠能的诗:","不见一法存无见，大似浮云遮日面。","不知一法守空知，还如太虚生闪电。","此之知见瞥然兴，错认何曾解方便。","汝当一念自知非，自己灵光常显见。","这首惠能的诗，你能解否？","无念之法。","看法不着于法。","直心是净土。","“浮云遮日”又有何妨害！","只要你为我活，我为你活，我们就是小草，众人都踩不死的。","","写一首诗，送给你：","我的脚踩着小草","我的头望着月华","我知道","相聚不易","","小草有时序","月华有时序","我们总是彼此的相忆","别后的","离苦的","更加的绮丽","","呷","我总是傻傻的伫立","聚又散","散又聚","又送月华去",""
"006 超美的柔软","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=438&chapter_id=c006","呷！","很多看见你的人都说：","“你是超美的！”","你的眉毛，像上弦的月。","你的眼睛，像蓝色的海，那么生动。","你的鼻子，像一座山高矗。","你的唇，像菱角，微微的翘起。","这种组合：","“超美！”","","六世达赖的情歌中，有一首：","白昼看美貌无比，夜晚看肌香诱人，","我的终身伴侣，比“鲁顶”花更为艳丽。","","宗喀巴的诗：","莲花脸盘乌黑眼睛美，深蓝发辫顶髻银光闪，","姿态绰约妩媚妙音女，再次祈祷赐以语自在。","对了！","","呷呷！你的头发像瀑布，散发出香气四溢的水珠，放射！","你的眸子闭着，很柔软。","你的眸子开眼，我的心就醉。","四目相对时－－","一切烦忧全忘却。","这时候，一切全变得非常柔软了，我的心很柔软，你的心很柔软，这是一种无法形容的觉受，非常舒畅，仿佛洗尽了尘埃，净明无染，像菩萨的光芒，又细又柔，流动着放光芒。","","如果我们在一起，总是这样！","如果我们没在一起，我对着月亮说话，想要月亮对我说：","“你在另一头，也跟着我说话！”","呷呷！","虽然我是卢师尊，但，你知道吗？我的内心实在是超柔软的。","","我记得齐己的诗：","大士生兜率，空池满白莲。","秋风明月下，斋日影堂前。","色后群芳坼，香殊百和燃。","谁知不染性，一片好心田。","","这一片好心田，是我要对你说的，我实在有一片好心田。","你超美！","我柔软！","就是这样了！","写一首诗送给你：","你的超美犹带一分俏","见过的人","心头都发烧","","如果是笑时","那更是不得了","百态千娇","呷","","我要你明白及知晓","我的心确实轻飘飘","我常常对月亮说话","说着说着"
"007 燃烧的野火","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=438&chapter_id=c007","呷！","其实要了解一个人内心的秘密是非常困难的，以我来说，我自己也不一定了解自己。","我连自己都不了解自己，更何况别人怎可能了解我呢？","反过来说，我要眞正去了解你的心，必然也是相当艰难的过程。","有人说：","“相聚久了，自然而然就明白了！”","久了，是多久？","曾经有一个人，我想了解他，经过了十年之久，我还是不了解他。","呷呷！","看你的表面，像一位阳光少女，很活泼开朗，但，事实上，又很淡定。冷静的时候，可以解开那千丝万缕的纠缠。","","还有冷冷的面膜之下，怎知是燃烧的野火？天雷勾动地火，一发而不可收拾！","有时候你冷静－－","如外科医师，解剖我的一寸一寸的肌肤，分析得有条有理。","有时候你狂野－－","就像燃烧的野火，把我的全身都烧得精光，尸骨无存。","其实我喜欢你的全部，冷静与狂野，我都很欣赏。","我要如何解析你呢？","","认眞说：","“不必解析！”","因为在你的面前，我变得很盲目，无从得晓。","卢师尊原本有“他心通”的本领，可以看透人的内心秘密。","我有天眼，可以看。","我有天耳，可以听。","我有耳报，神佛的通告。","","但，这些都变成没有作用了，因为“爱”，所以把这些全部否决掉！","我实在：","“不懂你的心！”","良价的诗：","切忌随他觅，迢迢与我疏。","我今独自往，处处得逢渠。","渠今正是我，我今不是渠。","应须恁么会，方得契如如。","","我感叹啊！","在你之前，我一切的神通预知，仿佛全部自动消除，你说什么，就是什么！","","写一首诗送给你：","你是雾","随着风缥缈","我已迷失","所以神通就变得小","","你的内心秘密是云","变幻根本无法晓","只要你说的","我都说好","","呷","燃烧的野火耶","我整个人被烧掉了","","",""
"008 月蚀的时分","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=438&chapter_id=c008","呷！","我们常说月有阴晴圆缺，人有悲欢离合，有喜、有怒、又哀、又乐。","这是佛陀说的：“诸行无常”。","我们也知道当太阳、地球、月亮，成一直线时，地球挡住了太阳光，那就是：","“月蚀”。","","景岑的诗：","百尺竿头不动人，虽然得入未为眞。","百尺竿头须进步，十方世界是全身。","又：","不识金刚体，却唤作缘生。","十方眞寂灭，谁在复谁行？","","这两首禅诗，其主旨是：","认清“十方”。","认清“不动”、“寂灭”。","我说：","认清“圆缺”、认清“离合”、认清“哀乐”。其实是“不动”及“寂灭”的。","","外，是动乱。","内，是不动。","外，是喧哗。","内，是寂灭。","这也就是“月蚀”的标准答案。","我们的情谊，时常被人为的破坏严重，彼此之间亦有误解。","但，好像是“月蚀”一样，凋萎了，黑暗遮住了一大块，后来，它又奇迹似的复活了。","有时不只是黑了一大块，几乎是全部都黑了，昏天暗地。","但，渐渐的，又光明了！","","你说：","“我是为你一个人活的。”","我说：","“我也是为你一个人活的。”","就凭这句话，我们奇迹似的活了过来，扫荡一些闲言闲语。","体会：","“十方世界是全身！”","体会：","“十方眞寂灭！”","我们走过了黑暗的幽谷，是我在护着你行，是你在护着我行。","我们能够如此的亲密，是外人永远不会了解的，因为他们不明白，你我所知道的：","“多世多生！”","我写一首诗送给你：","月蚀的时分","十方世界非常暗","受了很多言语的影响","几乎被惊散","","心中纷纷乱乱","潮起潮落","心总是摇摇晃晃","呷","水茫茫","何处是彼岸","","对着月亮说话","你听见我的呼唤"
